quarter,deaths,pred,pats,smr,crd_rate,location_type,location,location_name,quarter_reg,reg
16,153,149.293695,3047,1.024825596,5.021332458,hospital,T202H,Perth Royal Infirmary,4,0.894077138
16,1,1.566505363,1331,0.638363598,0.07513148,hospital,T312H,Stracathro Hospital,4,0.661052781
16,322,287.9446949,8490,1.118270299,3.792697291,hospital,V217H,Forth Valley Royal Hospital,4,0.974227092
16,26,21.4054374,976,1.214644649,2.663934426,hospital,W107H,Western Isles Hospital,4,1.153188828
16,28,20.03907591,922,1.39727002,3.036876356,hospital,Z102H,Gilbert Bain Hospital,4,1.024499085
17,314,356.6863349,9346,0.880325287,3.359726086,hospital,A111H,University Hospital Crosshouse,5,0.866628955
17,211,241.584008,6448,0.873402183,3.272332506,hospital,A210H,University Hospital Ayr,5,0.925515772
17,189,172.2168917,4358,1.097453323,4.336851767,hospital,B120H,Borders General Hospital,5,0.935775923
17,31,22.54975603,793,1.374737711,3.909205549,hospital,C121H,Lorn & Islands Hospital,5,1.078252856
17,158,132.0027505,4806,1.196944756,3.28755722,hospital,C313H,Inverclyde Royal Hospital,5,1.056386764
17,331,302.7354806,9718,1.093363749,3.406050628,hospital,C418H,Royal Alexandra Hospital / Vale of Leven,5,1.056795703
17,33,31.01759137,4507,1.063912398,0.732194364,hospital,D102H,Golden Jubilee National Hospital,5,0.863746984
17,413,461.3449297,8313,0.895208711,4.968122218,hospital,F704H,Victoria Hospital / Queen Margaret Hospital / Forth Park Hospital,5,0.90326422
17,426,417.3367112,12829,1.020758511,3.320601762,hospital,G107H,Glasgow Royal Infirmary / Stobhill,5,0.94068505
17,203,176.431878,6745,1.150585723,3.009636768,hospital,G405H,Queen Elizabeth University Hospital / Gartnavel,5,0.895742506
17,38,35.48088518,799,1.07099921,4.755944931,hospital,H103H,Caithness General Hospital,5,0.962866699
17,165,212.5588454,7616,0.776255628,2.166491597,hospital,H202H,Raigmore Hospital,5,0.806223303
17,17,15.87244696,365,1.071038387,4.657534247,hospital,H212H,Belford Hospital,5,1.100758433
17,273,308.7074447,8453,0.884332415,3.229622619,hospital,L106H,University Hospital Monklands,5,0.906664759
17,222,264.0982173,7154,0.84059636,3.103159072,hospital,L302H,University Hospital Hairmyres,5,0.887761626
17,275,291.0275789,9860,0.944927629,2.789046653,hospital,L308H,University Hospital Wishaw,5,0.987620662
17,513,504.9186482,15500,1.016005255,3.309677419,hospital,N101H,Aberdeen Royal Infirmary,5,0.904730561
17,96,84.50845014,3135,1.135981075,3.062200957,hospital,N411H,Dr Gray's Hospital,5,1.054563145
17,28,29.21985046,870,0.95825268,3.218390805,hospital,R101H,Balfour Hospital,5,1.12445318
17,302,376.5380261,7298,0.802043828,4.138120033,hospital,S116H,Western General Hospital,5,0.736743415
17,174,195.351653,7774,0.890701447,2.238229997,hospital,S308H,St John's Hospital,5,0.829844002
17,411,476.4775005,11850,0.862580079,3.46835443,hospital,S314H,Royal Infirmary of Edinburgh at Little France,5,0.856631932
17,431,449.1568051,11562,0.959575799,3.727728767,hospital,T101H,Ninewells Hospital,5,0.891010836
