HB2014,quarter,deaths,pats,crd_rate,label
Scotland,13,103,35270,0.29203288914091297,20-39 years
Scotland,13,695,59181,1.174363393656748,40-59 years
Scotland,13,2915,74945,3.8895189805857626,60-79 years
Scotland,13,2861,29528,9.68910864264427,80+ years
Scotland,14,42,25824,0.16263940520446096,0-19 years
Scotland,14,89,34205,0.2601958777956439,20-39 years
Scotland,14,632,57387,1.101294718315995,40-59 years
Scotland,14,2748,73924,3.717331313240625,60-79 years
Scotland,14,2682,29513,9.087520753566224,80+ years
Scotland,15,31,25387,0.12210974120612914,0-19 years
Scotland,15,103,35460,0.290468133107727,20-39 years
Scotland,15,631,58371,1.0810162580733582,40-59 years
Scotland,15,2741,74641,3.6722444768960756,60-79 years
Scotland,15,2559,29842,8.575162522619127,80+ years
Scotland,16,32,26120,0.1225114854517611,0-19 years
Scotland,16,98,34580,0.2834008097165992,20-39 years
Scotland,16,637,58704,1.085104933224312,40-59 years
Scotland,16,2865,75525,3.7934458788480634,60-79 years
Scotland,16,2968,31209,9.510077221314365,80+ years
Scotland,17,23,27511,0.08360292246737669,0-19 years
Scotland,17,91,35789,0.25426807119505995,20-39 years
Scotland,17,688,61046,1.127018969301838,40-59 years
Scotland,17,2884,77486,3.721962677128772,60-79 years
Scotland,17,2985,31762,9.39802279453435,80+ years
Scotland,18,29,26569,0.10914976099966126,0-19 years
Scotland,18,97,35105,0.27631391539666716,20-39 years
Scotland,18,642,59133,1.0856881944092132,40-59 years
Scotland,18,2842,75977,3.740605709622649,60-79 years
Scotland,18,2814,31128,9.040092521202775,80+ years
Scotland,19,28,25905,0.10808724184520363,0-19 years
Scotland,19,80,35071,0.22810869379259216,20-39 years
Scotland,19,594,59414,0.9997643653011075,40-59 years
Scotland,19,2714,75091,3.614281338642447,60-79 years
Scotland,19,2603,30913,8.42040565457898,80+ years
Scotland,20,33,27370,0.1205699671172817,0-19 years
Scotland,20,85,34429,0.24688489354904294,20-39 years
Scotland,20,690,60347,1.1433874094818302,40-59 years
Scotland,20,3093,77775,3.976856316297011,60-79 years
Scotland,20,3175,32914,9.646351096797716,80+ years
Scotland,21,25,26306,0.09503535315137232,0-19 years
Scotland,21,93,33767,0.27541682707969317,20-39 years
Scotland,21,676,59184,1.1422005947553393,40-59 years
Scotland,21,2980,76285,3.9064036180114043,60-79 years
Scotland,21,3201,32045,9.989077859260414,80+ years
Scotland,22,23,26655,0.08628775089101481,0-19 years
Scotland,22,87,34524,0.2519986096628432,20-39 years
Scotland,22,669,60398,1.1076525712771945,40-59 years
Scotland,22,2835,77142,3.6750408337870417,60-79 years
Scotland,22,2640,31253,8.447189069849294,80+ years
Scotland,23,21,26450,0.07939508506616258,0-19 years
Scotland,23,85,35363,0.2403642224924356,20-39 years
Scotland,23,630,59596,1.0571179273776763,40-59 years
Scotland,23,2678,76464,3.5023017367650136,60-79 years
Scotland,23,2509,31523,7.959267836183104,80+ years
Scotland,24,16,27471,0.05824323832405082,0-19 years
Scotland,24,60,34552,0.17365130817318825,20-39 years
Scotland,24,641,60359,1.061979158037741,40-59 years
Scotland,24,2840,77281,3.67490068710291,60-79 years
Scotland,24,2872,32317,8.886963517653248,80+ years
Scotland,25,15,28156,0.05327461287114647,0-19 years
Scotland,25,90,35247,0.25534088007489997,20-39 years
Scotland,25,628,61181,1.026462463836812,40-59 years
Scotland,25,2784,78714,3.536854943212135,60-79 years
Scotland,25,2864,32503,8.811494323600897,80+ years
Scotland,26,21,27753,0.07566749540590206,0-19 years
Scotland,26,65,35248,0.18440762596459373,20-39 years
Scotland,26,637,60406,1.0545310068536238,40-59 years
Scotland,26,2646,78134,3.3864898763662428,60-79 years
Scotland,26,2546,32354,7.869197008097917,80+ years
Scotland,27,22,26019,0.08455359544947923,0-19 years
Scotland,27,94,34862,0.2696345591188113,20-39 years
Scotland,27,660,59684,1.1058240064338851,40-59 years
Scotland,27,2663,78587,3.388601168132134,60-79 years
Scotland,27,2739,32859,8.335615813019265,80+ years
Scotland,28,18,28990,0.062090375991721285,0-19 years
Scotland,28,75,34076,0.22009625542904093,20-39 years
Scotland,28,709,59532,1.1909561244372775,40-59 years
Scotland,28,2885,78796,3.661353368191279,60-79 years
Scotland,28,3231,34021,9.497075335821991,80+ years
Scotland,28,0,2,0,NA
Scotland,29,29,27876,0.10403214234466925,0-19 years
Scotland,29,82,34248,0.23943003971034804,20-39 years
Scotland,29,700,60267,1.1614980005641562,40-59 years
Scotland,29,3114,80121,3.886621485003931,60-79 years
Scotland,29,3452,34127,10.115158085972983,80+ years
Scotland,30,12,25928,0.046282011724776306,0-19 years
Scotland,30,90,34571,0.26033380579098087,20-39 years
Scotland,30,676,60079,1.1251851728557398,40-59 years
Scotland,30,2920,78954,3.698356004762267,60-79 years
Scotland,30,2770,32497,8.523863741268425,80+ years
Scotland,31,18,26198,0.06870753492633025,0-19 years
Scotland,31,83,35360,0.23472850678733032,20-39 years
Scotland,31,646,59813,1.0800327687960811,40-59 years
Scotland,31,2663,78402,3.3965970255860816,60-79 years
Scotland,31,2674,32667,8.185630758869808,80+ years
Scotland,32,20,28480,0.0702247191011236,0-19 years
Scotland,32,103,34975,0.2944960686204432,20-39 years
Scotland,32,707,59364,1.1909574826494171,40-59 years
Scotland,32,2864,79593,3.5983063837272122,60-79 years
Scotland,32,3030,33853,8.9504622928544,80+ years
Scotland,33,26,27860,0.09332376166547021,0-19 years
Scotland,33,85,35643,0.23847599809219203,20-39 years
Scotland,33,806,60265,1.337426366879615,40-59 years
Scotland,33,3100,79866,3.8815015150376877,60-79 years
Scotland,33,3171,33672,9.417320028510336,80+ years
Scotland,34,29,27004,0.10739149755591765,0-19 years
Scotland,34,105,35388,0.2967107494065785,20-39 years
Scotland,34,645,59789,1.0787937580491396,40-59 years
Scotland,34,2570,80300,3.2004981320049817,60-79 years
Scotland,34,2777,33271,8.346608157254066,80+ years
Scotland,35,16,26426,0.06054643154469084,0-19 years
Scotland,35,102,34490,0.2957378950420412,20-39 years
Scotland,35,612,57325,1.067597034452682,40-59 years
Scotland,35,2694,78135,3.4478786715300442,60-79 years
Scotland,35,2733,32789,8.335112385251152,80+ years
Scotland,36,20,28440,0.07032348804500703,0-19 years
Scotland,36,98,33032,0.29668200532816663,20-39 years
Scotland,36,697,56536,1.2328427904344135,40-59 years
Scotland,36,2973,78255,3.799118267203373,60-79 years
Scotland,36,3319,34682,9.56980566287988,80+ years
Scotland,37,18,26590,0.06769462203836028,0-19 years
Scotland,37,81,33199,0.24398325250760566,20-39 years
Scotland,37,699,57365,1.2185130305935674,40-59 years
Scotland,37,2971,79718,3.7268872776537294,60-79 years
Scotland,37,3351,34019,9.850377730092006,80+ years
Scotland,38,26,26742,0.09722533841896643,0-19 years
Scotland,38,100,33186,0.301331886940276,20-39 years
Scotland,38,643,55780,1.1527429186088205,40-59 years
Scotland,38,2711,78417,3.4571585242995777,60-79 years
Scotland,38,2857,32793,8.712225170005794,80+ years
Scotland,39,25,25305,0.09879470460383323,0-19 years
Scotland,39,89,33338,0.26696262523246744,20-39 years
Scotland,39,627,55451,1.1307280301527474,40-59 years
Scotland,39,2725,77618,3.5107835811280887,60-79 years
Scotland,39,2706,32848,8.237944471505115,80+ years
Scotland,40,22,28692,0.07667642548445561,0-19 years
Scotland,40,89,32396,0.27472527472527475,20-39 years
Scotland,40,677,54822,1.2349056947940609,40-59 years
Scotland,40,3227,79620,4.053001758352172,60-79 years
Scotland,40,3580,35189,10.173633806018927,80+ years
Scotland,41,20,26082,0.07668123610152595,0-19 years
Scotland,41,104,31964,0.3253660367913903,20-39 years
Scotland,41,675,54285,1.2434374136501796,40-59 years
Scotland,41,3101,78648,3.942884752314108,60-79 years
Scotland,41,3519,34080,10.325704225352112,80+ years
Scotland,1,0,1,0,NA
Scotland,1,3642,104026,3.5010478149693345,Male
Scotland,1,3918,119777,3.2710787546857913,Female
Scotland,2,0,3,0,NA
Scotland,2,3040,103777,2.929358142941114,Male
Scotland,2,3198,118705,2.6940735436586496,Female
Scotland,2,0,2,0,NA
Scotland,3,1,2,50,NA
Scotland,3,3027,102995,2.938977620272829,Male
Scotland,3,3138,116872,2.6849887055924433,Female
Scotland,4,0,1,0,NA
Scotland,4,3451,104437,3.3043844614456566,Male
Scotland,4,3806,119588,3.182593571261331,Female
Scotland,5,0,1,0,NA
Scotland,5,3346,106358,3.145978675793076,Male
Scotland,5,3511,123307,2.8473647075997306,Female
Scotland,5,0,1,0,NA
Scotland,6,0,4,0,NA
Scotland,6,3085,104802,2.9436461136237857,Male
Scotland,6,3078,119370,2.5785373209349083,Female
Scotland,7,3014,104188,2.8928475448228204,Male
Scotland,7,3018,118160,2.55416384563304,Female
Scotland,8,3418,105845,3.2292503188624875,Male
Scotland,8,3477,119482,2.9100617666259354,Female
Scotland,9,0,1,0,NA
Scotland,9,3370,105163,3.2045491284957635,Male
Scotland,9,3473,119974,2.894793872005601,Female
Scotland,10,0,1,0,NA
Scotland,10,3008,104974,2.8654714500733514,Male
Scotland,10,3177,119486,2.6588889074870696,Female
Scotland,11,2966,103856,2.8558773686643044,Male
Scotland,11,3128,118727,2.6346155465900765,Female
Scotland,11,0,1,0,NA
Scotland,12,3458,102118,3.3862786188526997,Male
Scotland,12,3417,115880,2.948740075940628,Female
Scotland,12,0,3,0,NA
Scotland,13,0,1,0,NA
Scotland,13,3202,105791,3.0267225000236317,Male
Scotland,13,3397,120862,2.810643543876487,Female
Scotland,14,3068,103800,2.955684007707129,Male
Scotland,14,3125,117053,2.669730805703399,Female
Scotland,15,3024,104789,2.88579908196471,Male
Scotland,15,3041,118912,2.557353336921421,Female
Scotland,16,3208,105968,3.0273290049826365,Male
Scotland,16,3392,120168,2.8227148658544707,Female
Scotland,16,0,2,0,NA
Scotland,17,0,1,0,NA
Scotland,17,3236,108917,2.9710697136351536,Male
Scotland,17,3435,124676,2.7551413263178155,Female
Scotland,18,0,1,0,NA
Scotland,18,3134,106966,2.9299029598190076,Male
Scotland,18,3290,120943,2.7202897232580634,Female
Scotland,18,0,2,0,NA
Scotland,19,3010,105758,2.8461203880557497,Male
Scotland,19,3009,120633,2.4943423441346897,Female
Scotland,19,0,3,0,NA
Scotland,20,0,3,0,NA
Scotland,20,3325,108837,3.055027242573757,Male
Scotland,20,3751,123994,3.0251463780505508,Female
Scotland,20,0,1,0,NA
Scotland,21,3463,106113,3.2635021156691453,Male
Scotland,21,3512,121473,2.8911774633046026,Female
Scotland,21,0,1,0,NA
Scotland,22,0,1,0,NA
Scotland,22,3068,107774,2.8466977193015013,Male
Scotland,22,3186,122196,2.607286654227634,Female
Scotland,22,0,1,0,NA
Scotland,23,0,1,0,NA
Scotland,23,3068,107558,2.852414511240447,Male
Scotland,23,2855,121835,2.343333196536299,Female
Scotland,23,0,2,0,NA
Scotland,24,3190,109249,2.9199351939148186,Male
Scotland,24,3239,122731,2.6391050345878386,Female
Scotland,25,3166,109917,2.8803551770881666,Male
Scotland,25,3215,125884,2.553938546598456,Female
Scotland,26,2947,109428,2.6930950031070657,Male
Scotland,26,2968,124466,2.384586955473784,Female
Scotland,26,0,1,0,NA
Scotland,27,0,2,0,NA
Scotland,27,3160,108630,2.9089570100340607,Male
Scotland,27,3018,123378,2.4461411272674223,Female
Scotland,27,0,1,0,NA
Scotland,28,0,2,0,NA
Scotland,28,3442,110326,3.119844823523014,Male
Scotland,28,3476,125088,2.7788436940393964,Female
Scotland,28,0,1,0,NA
Scotland,29,0,2,0,NA
Scotland,29,3671,110360,3.326386371873867,Male
Scotland,29,3706,126276,2.9348411416262787,Female
Scotland,29,0,1,0,NA
Scotland,30,3300,108887,3.0306648176550004,Male
Scotland,30,3168,123140,2.5726815007308756,Female
Scotland,30,0,2,0,NA
Scotland,31,3129,108775,2.8765800965295334,Male
Scotland,31,2955,123664,2.3895393970759478,Female
Scotland,31,0,1,0,NA
Scotland,32,3380,110529,3.0580209718716356,Male
Scotland,32,3344,125733,2.659604081665116,Female
Scotland,32,0,3,0,NA
Scotland,33,3593,110851,3.2412878548682467,Male
Scotland,33,3595,126455,2.8429085445415363,Female
Scotland,34,3067,110900,2.765554553651939,Male
Scotland,34,3059,124852,2.4501009194886745,Female
Scotland,35,0,12,0,NA
Scotland,35,3201,107462,2.9787273640914926,Male
Scotland,35,2956,121690,2.4291231818555343,Female
Scotland,35,0,1,0,NA
Scotland,36,0,18,0,NA
Scotland,36,3547,108815,3.2596608923402104,Male
Scotland,36,3560,122112,2.9153563941299794,Female
Scotland,37,0,6,0,NA
Scotland,37,3541,108466,3.2646174838198143,Male
Scotland,37,3579,122418,2.923589668186051,Female
Scotland,37,0,1,0,NA
Scotland,38,1,4,25,NA
Scotland,38,3136,107241,2.924254716013465,Male
Scotland,38,3200,119672,2.6739755331238717,Female
Scotland,38,0,1,0,NA
Scotland,39,0,8,0,NA
Scotland,39,3123,106135,2.942478918358694,Male
Scotland,39,3049,118417,2.574799226462417,Female
Scotland,40,3785,108983,3.4730187276914752,Male
Scotland,40,3810,121732,3.1298261755331382,Female
Scotland,40,0,4,0,NA
Scotland,41,3647,105997,3.440663415002311,Male
Scotland,41,3772,119061,3.168123902873317,Female
Scotland,41,0,1,0,NA
Scotland,1,475,29649,1.6020776417417115,Elective/Non-Surgical
Scotland,1,5869,76777,7.6442163668807055,Non-Elective/Non-Surgical
Scotland,1,181,84115,0.21518159662366998,Elective/Surgical
Scotland,1,1035,33263,3.111565403000331,Non-Elective/Surgical
Scotland,2,477,30317,1.5733746742751593,Elective/Non-Surgical
Scotland,2,4788,73259,6.535715748235711,Non-Elective/Non-Surgical
Scotland,2,160,84384,0.18960940462646947,Elective/Surgical
Scotland,2,813,34527,2.354678946911113,Non-Elective/Surgical
Scotland,3,454,29992,1.5137369965324086,Elective/Non-Surgical
Scotland,3,4657,72006,6.4675165958392355,Non-Elective/Non-Surgical
Scotland,3,137,83347,0.16437304282097737,Elective/Surgical
Scotland,3,918,34524,2.659019812304484,Non-Elective/Surgical
Scotland,4,487,29274,1.6635922661747626,Elective/Non-Surgical
Scotland,4,5662,76926,7.360320307828302,Non-Elective/Non-Surgical
Scotland,4,154,84829,0.18154168975232526,Elective/Surgical
Scotland,4,954,32997,2.891171924720429,Non-Elective/Surgical
Scotland,5,488,30846,1.5820527783180962,Elective/Non-Surgical
Scotland,5,5302,75337,7.037710553911094,Non-Elective/Non-Surgical
Scotland,5,169,90620,0.1864930478922975,Elective/Surgical
Scotland,5,898,32864,2.732473222979552,Non-Elective/Surgical
Scotland,6,460,29712,1.548196015078083,Elective/Non-Surgical
Scotland,6,4733,72054,6.568684597662863,Non-Elective/Non-Surgical
Scotland,6,143,87940,0.1626108710484421,Elective/Surgical
Scotland,6,827,34470,2.399187699448796,Non-Elective/Surgical
Scotland,7,433,30103,1.438394844367671,Elective/Non-Surgical
Scotland,7,4594,71774,6.4006464736534125,Non-Elective/Non-Surgical
Scotland,7,158,86525,0.18260618318405086,Elective/Surgical
Scotland,7,847,33946,2.4951393389500973,Non-Elective/Surgical
Scotland,8,453,29397,1.5409735687315032,Elective/Non-Surgical
Scotland,8,5359,76156,7.036871684437209,Non-Elective/Non-Surgical
Scotland,8,153,86830,0.1762063802833122,Elective/Surgical
Scotland,8,930,32944,2.8229723166585723,Non-Elective/Surgical
Scotland,9,394,30070,1.3102760226139007,Elective/Non-Surgical
Scotland,9,5363,73269,7.31960310636149,Non-Elective/Non-Surgical
Scotland,9,185,89902,0.20577962670463393,Elective/Surgical
Scotland,9,901,31897,2.8247170580305356,Non-Elective/Surgical
Scotland,10,375,30966,1.2110056190660725,Elective/Non-Surgical
Scotland,10,4874,72693,6.704909688690795,Non-Elective/Non-Surgical
Scotland,10,130,87298,0.14891520997044605,Elective/Surgical
Scotland,10,806,33504,2.4056829035339065,Non-Elective/Surgical
Scotland,11,385,31249,1.2320394252616085,Elective/Non-Surgical
Scotland,11,4716,72359,6.517503005845852,Non-Elective/Non-Surgical
Scotland,11,141,85255,0.16538619435810217,Elective/Surgical
Scotland,11,852,33721,2.526615462174906,Non-Elective/Surgical
Scotland,12,382,29103,1.3125794591622857,Elective/Non-Surgical
Scotland,12,5419,74933,7.231793735737259,Non-Elective/Non-Surgical
Scotland,12,138,81438,0.16945406321373313,Elective/Surgical
Scotland,12,936,32527,2.8776093706766686,Non-Elective/Surgical
Scotland,13,366,31098,1.1769245610650203,Elective/Non-Surgical
Scotland,13,5226,76254,6.853410968604925,Non-Elective/Non-Surgical
Scotland,13,136,87191,0.15597940154373732,Elective/Surgical
Scotland,13,871,32111,2.7124661331008064,Non-Elective/Surgical
Scotland,14,384,30753,1.2486586674470783,Elective/Non-Surgical
Scotland,14,4838,73752,6.559822106519145,Non-Elective/Non-Surgical
Scotland,14,116,82378,0.14081429507878318,Elective/Surgical
Scotland,14,855,33970,2.5169267000294377,Non-Elective/Surgical
Scotland,15,402,31748,1.2662214942673553,Elective/Non-Surgical
Scotland,15,4736,74377,6.367559863936433,Non-Elective/Non-Surgical
Scotland,15,129,83106,0.15522344957042813,Elective/Surgical
Scotland,15,798,34470,2.3150565709312447,Non-Elective/Surgical
Scotland,16,371,30504,1.2162339365329138,Elective/Non-Surgical
Scotland,16,5259,77607,6.776450577911786,Non-Elective/Non-Surgical
Scotland,16,112,85251,0.1313767580438939,Elective/Surgical
Scotland,16,858,32776,2.6177690993409812,Non-Elective/Surgical
Scotland,17,405,32363,1.251429101134011,Elective/Non-Surgical
Scotland,17,5300,78615,6.741715957514469,Non-Elective/Non-Surgical
Scotland,17,141,90087,0.15651536847713876,Elective/Surgical
Scotland,17,825,32529,2.5361984690583785,Non-Elective/Surgical
Scotland,18,391,31660,1.2349968414403032,Elective/Non-Surgical
Scotland,18,5110,77054,6.6317128247722374,Non-Elective/Non-Surgical
Scotland,18,100,85570,0.1168633867009466,Elective/Surgical
Scotland,18,823,33628,2.447365290829071,Non-Elective/Surgical
Scotland,19,393,32193,1.2207622775137452,Elective/Non-Surgical
Scotland,19,4712,75647,6.2289317487805205,Non-Elective/Non-Surgical
Scotland,19,109,84509,0.12898034528866748,Elective/Surgical
Scotland,19,805,34045,2.364517550301072,Non-Elective/Surgical
Scotland,20,427,31993,1.3346669583971493,Elective/Non-Surgical
Scotland,20,5646,79764,7.078381224612606,Non-Elective/Non-Surgical
Scotland,20,114,88161,0.12930887807533945,Elective/Surgical
Scotland,20,889,32917,2.700732144484613,Non-Elective/Surgical
Scotland,21,418,30869,1.3541093005928277,Elective/Non-Surgical
Scotland,21,5577,78051,7.145328054733444,Non-Elective/Non-Surgical
Scotland,21,121,86747,0.1394860917380428,Elective/Surgical
Scotland,21,859,31920,2.6911027568922306,Non-Elective/Surgical
Scotland,22,355,30979,1.1459375706123502,Elective/Non-Surgical
Scotland,22,4976,78599,6.330869349482818,Non-Elective/Non-Surgical
Scotland,22,118,86654,0.13617374847093036,Elective/Surgical
Scotland,22,805,33740,2.3858921161825726,Non-Elective/Surgical
Scotland,23,356,29750,1.1966386554621848,Elective/Non-Surgical
Scotland,23,4624,78962,5.855981358121628,Non-Elective/Non-Surgical
Scotland,23,144,85151,0.16911134337823397,Elective/Surgical
Scotland,23,799,35533,2.2486139644837193,Non-Elective/Surgical
Scotland,24,407,29602,1.3749071008715628,Elective/Non-Surgical
Scotland,24,5103,81909,6.230084606087243,Non-Elective/Non-Surgical
Scotland,24,113,87668,0.12889537801706438,Elective/Surgical
Scotland,24,806,32801,2.4572421572513035,Non-Elective/Surgical
Scotland,25,405,30592,1.3238755230125523,Elective/Non-Surgical
Scotland,25,5061,82538,6.131721146623374,Non-Elective/Non-Surgical
Scotland,25,126,90536,0.13917115843421402,Elective/Surgical
Scotland,25,789,32135,2.455266843006068,Non-Elective/Surgical
Scotland,26,370,30828,1.200207603477358,Elective/Non-Surgical
Scotland,26,4660,81552,5.714145575828919,Non-Elective/Non-Surgical
Scotland,26,133,87829,0.15143062086554554,Elective/Surgical
Scotland,26,752,33686,2.232381404737873,Non-Elective/Surgical
Scotland,27,394,31600,1.2468354430379747,Elective/Non-Surgical
Scotland,27,4840,79794,6.065618968844776,Non-Elective/Non-Surgical
Scotland,27,139,86348,0.16097651364247,Elective/Surgical
Scotland,27,805,34269,2.349061834310893,Non-Elective/Surgical
Scotland,28,401,31436,1.2756075836620435,Elective/Non-Surgical
Scotland,28,5525,83936,6.582396111322912,Non-Elective/Non-Surgical
Scotland,28,120,87520,0.13711151736745886,Elective/Surgical
Scotland,28,872,32525,2.6810146041506533,Non-Elective/Surgical
Scotland,29,464,32132,1.444043321299639,Elective/Non-Surgical
Scotland,29,5958,84227,7.073741199377872,Non-Elective/Non-Surgical
Scotland,29,129,88688,0.14545372541944795,Elective/Surgical
Scotland,29,826,31592,2.614585971131932,Non-Elective/Surgical
Scotland,30,438,31881,1.373859038298673,Elective/Non-Surgical
Scotland,30,5085,81733,6.221477249091554,Non-Elective/Non-Surgical
Scotland,30,128,85541,0.1496358471376299,Elective/Surgical
Scotland,30,817,32874,2.485246699519377,Non-Elective/Surgical
Scotland,31,337,31931,1.0554007077761423,Elective/Non-Surgical
Scotland,31,4853,80987,5.992319755022411,Non-Elective/Non-Surgical
Scotland,31,105,85532,0.12276107187953046,Elective/Surgical
Scotland,31,789,33990,2.321270962047661,Non-Elective/Surgical
Scotland,32,376,31867,1.1799039758998338,Elective/Non-Surgical
Scotland,32,5358,85354,6.277385945591302,Non-Elective/Non-Surgical
Scotland,32,150,86182,0.17405026571673898,Elective/Surgical
Scotland,32,840,32862,2.5561438743837868,Non-Elective/Surgical
Scotland,33,361,30888,1.1687386687386687,Elective/Non-Surgical
